Pays,PIB
Mauritius,8030.063005
Mauritania,803.7779156
Chad,803.6863884
Togo,803.1518934
Qatar,80234.19083
Poland,8021.505743
Guinea-Bissau,802.7673851
China,8016.431435
Georgia,801.9904139
Mexico,8002.972178
Mauritius,8000.376432
Belarus,7998.125239
Norway,79977.69708
Uganda,799.9658963
Chad,799.603742
Nepal,799.5833769
Benin,798.7443045
Uganda,798.5857341
Mongolia,797.9777263
Rwanda,797.8555207
Turkmenistan,7962.244925
Kiribati,796.8032036
Burkina Faso,796.1152068
Gabon,7959.007267
Lebanon,7952.151266
Solomon Islands,795.6015338
Nigeria,795.3862287
Lebanon,7933.23332
Maldives,7928.476443
Burkina Faso,792.8462374
Djibouti,791.3841807
Ireland,79068.97461
Bulgaria,7901.785876
Uganda,790.1314506
Azerbaijan,7891.313147
Solomon Islands,788.6131193
Libya,7877.12461
Azerbaijan,7875.756953
Burkina Faso,787.4694383
Guinea,787.2385644
Lithuania,7854.765279
Cambodia,785.5026671
Bulgaria,7849.165283
Cayman Islands,78471.62873
Grenada,7832.349081
Rwanda,783.6371628
Armenia,783.241215
Lebanon,7819.60467
Thailand,7817.009671
Haiti,781.2766578
Bangladesh,781.1535777
Djibouti,780.9039613
Mali,780.7235695
Indonesia,780.1902047
Grenada,7789.632355
Montenegro,7784.06529
Mali,778.6252695
Gabon,7766.996554
Lebanon,7761.641489
Chad,776.0197523
Cayman Islands,77400.42144
Turkmenistan,774.482152
Gabon,7721.018953
Serbia,7720.510572
Rwanda,772.3169891
Kazakhstan,7714.841844
Switzerland,77117.12601
Zimbabwe,771.5990323
Ethiopia,771.5248663
Argentina,7708.099115
Uganda,770.6007843
Cuba,7694.014637
Guinea,769.2554754
Guinea,769.0031667
Lebanon,7687.759336
Dominica,7687.462963
Libya,7685.948132
Bulgaria,7681.93462
Ethiopia,768.5230154
Djibouti,768.1835703
Montenegro,7677.152226
Lebanon,7675.30894
Lebanon,7663.920232
Seychelles,7663.13708
Lebanon,7653.73363
Luxembourg,76404.41504
Bhutan,764.4328082
China,7636.116601
Azerbaijan,763.080638
Cayman Islands,76284.19393
Botswana,7617.310041
Turkmenistan,7612.03518
Dominican Republic,7609.353275
Chile,7598.528877
Dominica,7597.288894
Latvia,7594.902384
Mexico,7593.137345
Cameroon,759.1118514
Bermuda,75882.03386
Burkina Faso,758.000427
Seychelles,7578.851053
Lebanon,7578.172368
Panama,7576.140457
Norway,75719.7529
Bulgaria,7569.478815
Norway,75496.75406
Mexico,7544.568723
Lesotho,753.3759044
Mali,751.4728866
Burkina Faso,751.1727704
Rwanda,751.0773926
Botswana,7503.878588
Cayman Islands,74990.43322
Azerbaijan,7496.294648
Botswana,7495.220866
Georgia,749.908535
Tajikistan,749.5524123
Guinea-Bissau,749.453747
Papua New Guinea,749.1865116
Mexico,7484.486399
Pakistan,748.9225893
Indonesia,748.2576087
Comoros,747.9888625
Liberia,747.8686601
South Africa,7467.079185
Myanmar,746.94536
Uganda,746.8307529
Switzerland,74572.23237
Turkey,7456.296101
Cambodia,745.609127
Sao Tome and Principe,745.3202999
Iceland,74469.80406
Grenada,7444.089075
Rwanda,744.7607488
Norway,74355.51586
Bulgaria,7432.478766
Rwanda,743.559038
Serbia,7417.203649
Norway,74148.32008
Nigeria,741.7474939
Suriname,7408.360786
Liberia,740.914906
Sudan,740.746767
Liberia,739.911935
Gabon,7384.700704
